id,nombre,Habitantes_1970,Habitantes_1990,Habitantes_1995,Habitantes_2000,Habitantes_2005,Habitantes_2010,Habitantes_2020,superficie,densidad_hab_ini,densidad_hab_fin
1,Alvaro Obregon,520317,642753,676930,687020,706567,727034,759137,9617,3847,12619
2,Azcapotzalco,534554,474688,455131,441008,425298,414711,432205,3366,12620,
3,Benito Juarez,576475,407811,369956,360478,355017,385439,434153,2663,12620,
4,Coyoacan,339446,640066,653489,640423,628063,620416,614447,5440,3847,12619
5,Cuajimalpa,36200,119669,136873,151222,173625,186391,217686,7458,337,3846
6,Cuautemoc,923182,595960,540382,516255,521348,531831,545884,3240,12620,
7,Gustavo A. Madero,1186107,1268068,1256913,1235542,1193161,1185772,1173351,9407,12620,
8,Iztacalco,461992,448322,418982,411321,395025,384326,404695,2330,12620,
9,Iztapalapa,819095,1490499,1696609,1773343,1820888,1815786,1835486,11700,12620,
10,Magdalena Contreras,75429,195041,211898,222050,228927,239086,247622,7458,337,3846
11,Miguel Hidalgo,605560,406868,364398,352640,353534,372889,414470,4699,3847,12619
12,Milpa Alta,33694,63654,81102,96773,115895,130582,152685,22841,337,3846
13,Tlahuac,59461,206700,548364,302790,344106,360265,392313,8534,337,3846
14,Tlalpan,130719,484866,552516,581781,607545,650567,699928,312,337,3846
15,Venustiano Carranza,749483,749483,485623,462806,447459,430978,443704,3340,12620,
16,Xochimilco,116493,99951,332314,369787,404458,415007,442178,12200,337,3846
